1,1307482940001
2,790
3,831
4,877
5,935
6,1023
7,731
8,740
9,1042
10,726
11,716
12,1062
13,721
14,894
15,733
16,727
17,738
18,746
20,722
19,1554
21,1169
22,1430
23,1482
24,3587
25,3474
27,2643
28,2496
29,2742
30,2540
31,2494
32,2543
26,5197
33,2919
34,3267
35,3157
36,2329
37,2698
38,2853
39,3216
40,3176
43,2791
44,1359
41,4842
42,4637
45,1915
46,1220
47,906
48,1137
49,1450
51,1519
52,1583
53,1878
50,3020
54,1630
55,1594
56,1845
57,1823
58,2165
59,1696
60,2083
61,2315
63,1413
64,1786
65,1782
66,2156
67,2118
68,2364
69,2055
70,1782
71,2157
72,2313
73,2703
74,3069
75,2976
62,7112
76,2925
77,2188
78,1605
79,1715
80,1303
81,907
82,737
83,728
84,938
85,1221
86,747
87,1554
88,720
89,710
90,731
91,1050
92,1247
93,1179
94,1059
95,717
96,746
97,730
98,781
99,986
100,987
101,1362
102,1377
103,881
104,1219
105,724
106,723
108,848
109,1002
110,1244
107,2469
111,718
112,961
113,746
114,915
115,1307
116,1681
117,1739
118,1823
119,2123
120,1962
121,2146
122,1997
123,2265
124,2237
125,2484
127,2321
129,1221
126,3706
130,1784
128,2722
131,1451
132,1087
133,1094
134,750
135,861
136,716
137,1043
138,1392
139,858
140,1073
141,1357
142,1678
143,1922
145,2165
146,2261
144,2983
147,1189
148,906
150,1326
152,1382
153,1669
154,1993
149,3534
155,2684
156,2397
151,3899
157,3063
158,3246
159,3197
160,3403
161,3529
162,3379
163,3623
164,2632
165,2831
166,2933
167,2374
168,2571
169,2494
170,2203
171,2486
172,1491
174,1818
175,1974
176,1036
177,917
173,3994
178,726
179,722
180,1638
182,1150
181,2391
183,732
184,725
185,895
186,2211
188,842
189,896
187,2614
190,1486
191,1426
192,1339
193,1174
194,1294
195,1386
196,1768
197,1898
198,1877
199,2238
200,1654
201,1758
202,1210
203,1398
204,1424
205,1147
206,1480
207,1702
208,1960
209,1970
210,940
211,1101
212,734
213,918
214,777
215,1104
216,1283
217,738
219,1028
218,1715
220,715
221,1074
222,725
223,826
224,732
225,979
227,1001
228,1362
226,2101
229,1261
231,1909
232,2097
233,2045
234,2195
235,2424
236,2798
230,4682
238,3454
239,3815
241,3591
242,3775
243,3436
244,3535
237,6344
245,3201
240,6687
246,2739
247,3089
248,2708
249,2593
250,2940
251,2504
252,1710
253,723
254,728
255,1066
256,1451
260,2615
261,2590
262,2932
257,4075
258,4338
259,4554
263,2608
264,2347
265,2714
266,2864
267,3236
268,3287
269,3296
270,2647
271,2589
272,2562
273,2777
274,3072
275,1156
276,725
277,709
278,722
279,724
280,1027
281,720
282,1656
283,717
284,727
285,1025
286,721
287,721
288,1054
289,1259
290,1504
291,732
292,722
293,720
294,753
295,730
296,1091
297,730
298,718
299,733
300,743
301,746
302,716
303,732
305,1028
306,1103
307,1470
308,1705
304,2648
309,725
310,741
311,873
312,950
313,1254
314,732
315,734
316,731
317,727
318,724
319,714
320,1011
321,711
322,727
323,909
324,725
325,714
326,875
327,1208
328,1380
329,732
330,728
331,1119
332,1386
333,1332
334,1488
335,1789
336,1625
339,1478
340,1425
337,3384
341,1864
342,2043
338,4451
343,2033
344,1799
345,1004
346,744
348,758
347,1489
349,1151
350,724
351,718
352,1038
353,949
354,755
355,715
356,724
357,738
358,736
359,847
360,814
361,1767
362,818
363,1067
364,1094
366,1271
367,1591
368,1506
365,2612
371,1755
372,1217
369,3105
373,1805
374,1980
370,4097
375,1457
376,715
377,728
379,920
380,1161
378,1926
381,1354
382,1375
383,895
384,1248
385,971
386,1332
387,1170
388,1368
389,1312
390,1436
391,1454
392,1927
393,737
394,743
395,995
396,753
398,743
397,1629
399,732
400,781
401,4215
402,3408
403,3794
405,4239
406,3779
407,4157
408,4542
409,4742
410,4852
411,4403
412,3518
413,3826
404,8036
415,4140
416,3248
417,3546
419,2902
414,6474
420,1454
418,4469
421,1215
422,1154
423,1252
424,798
425,733
426,713
427,1074
428,733
429,793
431,864
432,1057
430,2081
433,1333
434,733
435,963
436,1265
437,730
438,729
439,747
440,1803
441,743
442,723
443,1089
444,1096
445,737
446,1075
447,1440
448,1188
449,729
450,1058
451,1317
452,1266
453,1326
454,1610
455,1914
456,1375
457,1580
458,1679
459,1426
460,739
461,854
462,737
464,1442
466,1933
467,2072
468,2323
463,3408
469,2576
470,2956
471,3042
472,3392
465,5307
473,2454
474,2327
475,2667
476,3012
479,3875
480,3973
481,2368
482,1961
477,5719
478,6084
483,2462
484,2787
485,2929
486,3168
487,2938
488,2495
489,1369
491,1727
490,2216
492,769
493,730
494,935
495,1172
496,754
497,725
498,935
500,1374
499,1904
